value,room,location,cleanliness,checkin,service
stay,room,town,lobby,desk,parking
business,rooms,courtyard,bathroom,lobby,staff
family,layout,location,bed,people,breakfast
charge,hall,freeway,beds,front,noise
price,queen,street,smell,reservation,pool
rate,suite,place,stains,reception,service
ammenties,décor,time,allergy,counter,restaurant
quality,seating,airport,pillows,clerk,restaurants
facilities,plug,distance,maid,check,food
facility,points,shuttle,corridors,checkin,wine
experience,windows,blocks,housekeeping,,trolly
amenities,space,walk,cleanliness,,car
value,tub,minutes,,,buffet
tax,shower,highway,,,internet
standard,door,downtown,,,cab
fare,,shops,,,call
fee,,walking,,,sleep
,,attractions,,,repair
,,view,,,employees
,,sea,,,customer
,,,,,water
,,,,,service
,,,,,bar 
,,,,,café
,,,,,coffee
